date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-08-13,59.8,59.85,59.56,58.66,454649.47,-0.88,-1.46,59.72,59.377,59.87,482618.87,466590.05,526347.0
2018-08-10,60.56,60.96,60.46,59.83,349041.5,-0.16,-0.26,59.376,59.579,59.778,475646.11,458762.12,525211.64
2018-08-09,58.38,60.99,60.62,58.18,635433.06,2.24,3.84,58.848,59.621,59.682,478254.47,457275.13,527448.83
2018-08-08,59.55,59.7,58.4,58.19,412109.12,-1.16,-1.95,58.37,59.64,59.57,480528.71,441991.15,528062.56
2018-08-07,58.11,59.6,59.56,57.96,561861.19,1.73,2.99,58.624,60.014,59.504,510793.74,441680.87,531146.2
2018-08-06,57.81,58.86,57.84,57.36,419785.66,0.02,0.04,59.034,60.231,59.436,450561.22,469179.45,530834.51
2018-08-03,58.43,58.76,57.82,57.78,362083.31,-0.44,-0.76,59.782,60.556,59.488,441878.13,507658.22,544647.38
2018-08-02,59.41,59.49,58.23,57.8,646804.25,-1.47,-2.46,60.394,60.858,59.444,436295.79,578384.97,567758.77
2018-08-01,61.8,62.41,59.67,59.62,563434.31,-1.93,-3.13,60.91,60.909,59.308,403453.6,584074.44,562840.28
2018-07-31,61.6,61.89,61.61,60.82,260698.59,0.05,0.08,61.404,60.721,59.102,372567.99,574179.52,560643.25
2018-07-30,60.9,61.92,61.58,60.75,376370.19,0.71,1.17,61.428,60.362,58.837,487797.68,586103.96,595066.67
2018-07-27,60.98,61.33,60.88,60.57,334171.59,0.08,0.13,61.33,59.976,58.518,573438.32,591661.15,621257.62
2018-07-26,62.28,62.48,60.81,60.68,482593.31,-1.35,-2.17,61.322,59.743,58.402,720474.15,597622.54,636804.64
2018-07-25,62.23,62.24,62.14,61.4,409006.25,0.4,0.65,60.908,59.499,58.202,764695.29,614133.97,649474.54
2018-07-24,61.06,63.0,61.73,61.03,836847.06,0.65,1.06,60.038,58.994,57.969,775791.05,620611.53,663878.43
2018-07-23,60.35,61.6,61.09,60.25,804573.38,0.25,0.41,59.296,58.64,57.843,684410.24,592489.57,657932.46
2018-07-20,58.6,61.61,60.84,58.23,1069350.75,2.13,3.63,58.622,58.419,57.781,609883.99,581636.54,648078.63
2018-07-19,58.36,59.3,58.74,58.35,703699.0,0.93,1.61,58.164,58.029,57.792,474770.93,557132.58,617879.91
2018-07-18,58.28,59.11,57.79,57.75,464485.06,-0.23,-0.4,58.09,57.707,57.911,463572.65,541606.11,612969.66
2018-07-17,57.9,58.26,58.02,57.42,379943.03,0.3,0.52,57.95,57.483,58.114,465432.01,547106.97,626905.17
2018-07-16,58.3,58.78,57.72,57.38,431942.09,-0.82,-1.4,57.984,57.312,58.315,500568.89,604029.37,671821.19
2018-07-13,58.77,58.92,58.55,58.28,393785.47,0.17,0.29,58.216,57.059,58.663,553389.09,650854.08,683553.23
2018-07-12,57.24,58.89,58.37,57.24,647707.62,1.28,2.24,57.894,57.061,58.956,639494.23,675986.74,703788.19
2018-07-11,56.75,57.51,57.09,56.56,473781.84,-1.09,-1.87,57.324,56.904,59.227,619639.57,684815.1,694355.47
2018-07-10,59.0,59.05,58.19,57.55,555627.44,-0.69,-1.17,57.016,56.944,59.567,628781.94,707145.33,708844.34
2018-07-09,57.6,58.91,58.88,57.2,696043.06,1.94,3.41,56.64,57.046,59.808,707489.85,723375.35,706703.12
2018-07-06,55.98,57.65,56.94,55.54,824311.19,1.41,2.54,55.902,57.142,59.983,748319.08,714520.72,700870.54
2018-07-05,55.7,56.27,55.52,55.18,548434.31,0.0,0.0,56.228,57.554,60.297,712479.25,678627.24,696968.32
2018-07-04,56.23,56.88,55.55,55.37,519493.69,-0.79,-1.4,56.484,58.114,60.712,749990.64,684333.2,694057.62
2018-07-03,55.6,56.56,56.31,54.33,949167.0,1.09,1.97,56.872,58.744,61.163,785508.72,706703.36,712341.56
2018-07-02,58.28,58.28,55.19,54.65,900189.19,-3.39,-5.79,57.452,59.318,61.525,739260.85,739613.02,707828.08
2018-06-29,57.12,58.63,58.57,57.1,645112.06,1.74,3.06,58.382,60.266,61.847,680722.36,716252.37,683219.0
2018-06-28,57.11,57.95,56.8,56.53,735991.25,-0.7,-1.22,58.88,60.851,62.027,644775.22,731589.64,684232.82
2018-06-27,59.1,59.45,57.49,57.44,697084.12,-1.75,-2.95,59.744,61.549,62.217,618675.76,703895.84,671975.09
2018-06-26,59.1,59.61,59.21,57.8,717927.62,-0.58,-0.97,60.616,62.189,62.461,627897.99,710543.35,668944.6
2018-06-25,61.28,61.35,59.84,59.6,607496.75,-1.23,-2.01,61.184,62.569,62.625,739965.19,690030.9,655995.66
2018-06-22,60.6,61.5,61.06,60.6,465376.38,-0.03,-0.05,62.15,62.824,62.711,751782.39,687220.36,643317.3
2018-06-21,61.86,62.56,61.12,61.0,605493.94,-0.73,-1.18,62.822,63.04,62.721,818404.05,715309.41,642124.15
2018-06-20,61.9,62.54,61.85,60.78,743195.25,-0.24,-0.39,63.354,63.309,62.753,789115.91,703782.04,640307.18
2018-06-19,63.8,64.2,62.05,61.8,1278263.62,-2.58,-3.99,63.762,63.582,62.811,793188.71,717979.77,625032.02
